x1,y1,x2,y2
1,475,850,143
850,143,843,865
843,865,204,98
204,98,526,1000
526,1000,2,544
2,544,631,983
631,983,952,285
952,285,34,319
34,319,288,953
288,953,43,299
43,299,916,222
916,222,87,219
87,219,199,899
199,899,931,755
931,755,5,566
5,566,958,702
958,702,388,988
388,988,288,48
288,48,699,959
699,959,964,314
964,314,25,346
25,346,962,308
962,308,358,980
358,980,100,202
100,202,978,649
978,649,401,990
401,990,990,398
990,398,13,388
13,388,422,994
422,994,722,52
722,52,441,997
441,997,865,158
865,158,1,507
1,507,992,407
992,407,24,652
24,652,973,664
973,664,22,646
22,646,664,973
664,973,73,760
73,760,716,952
716,952,968,322
968,322,708,956
708,956,932,249
932,249,75,238
75,238,907,209
907,209,497,1000
497,1000,999,541
999,541,1,526
1,526,996,435
996,435,115,182
115,182,566,996
566,996,594,9
594,9,939,741
939,741,89,784
89,784,319,34
319,34,38,690
38,690,873,834
873,834,814,111
814,111,840,867
840,867,121,826
121,826,165,130
165,130,143,850
143,850,763,926
763,926,65,747
65,747,246,70
246,70,246,931
246,931,878,829
878,829,17,628
17,628,983,631
983,631,2,535
2,535,998,447
998,447,475,1000
475,1000,797,98
797,98,826,880
826,880,128,834
128,834,249,69
249,69,37,687
37,687,961,696
961,696,385,987
385,987,799,100
799,100,696,961
696,961,285,49
285,49,177,882
177,882,85,222
85,222,1000,488
1000,488,235,924
235,924,999,466
999,466,17,628
17,628,901,799
901,799,119,824
119,824,161,134
161,134,993,413
993,413,38,311
38,311,919,227
919,227,676,969
676,969,750,67
750,67,910,787
910,787,58,733
58,733,858,850
858,850,8,588
8,588,616,987
616,987,901,202
901,202,92,212
92,212,914,219
914,219,58,268
58,268,217,912
217,912,302,42
302,42,394,989
394,989,8,413
8,413,972,667
972,667,22,355
22,355,990,398
990,398,1,472
1,472,847,140
847,140,38,311
38,311,554,998
554,998,999,460
999,460,51,719
51,719,957,705
957,705,687,37
687,37,438,997
438,997,2,457
2,457,361,981
361,981,125,170
125,170,209,907
209,907,886,819
886,819,138,156
138,156,956,293
956,293,30,331
30,331,285,952
285,952,20,361
20,361,982,367
982,367,121,175
121,175,998,554
998,554,507,1000
507,1000,990,603
990,603,27,340
27,340,989,394
989,394,1,469
1,469,845,138
845,138,39,308
39,308,834,128
834,128,878,829
878,829,230,921
230,921,382,15
382,15,13,610
13,610,912,784
912,784,311,963
311,963,923,768
923,768,207,905
207,905,998,447
998,447,43,702
43,702,869,838
869,838,260,939
260,939,343,26
343,26,43,702
43,702,658,975
658,975,733,58
733,58,450,998
450,998,17,373
17,373,974,340
974,340,725,947
725,947,136,843
136,843,797,903
797,903,936,254
936,254,17,373
17,373,274,946
274,946,940,262
940,262,140,154
140,154,507,1000
507,1000,993,588
993,588,302,959
302,959,62,260
62,260,910,214
910,214,854,854
854,854,858,151
858,151,1,504
1,504,991,404
991,404,23,649
23,649,890,814
890,814,696,40
696,40,812,892
812,892,48,713
48,713,840,867
840,867,62,741
62,741,243,72
243,72,33,679
33,679,676,969
676,969,282,51
282,51,80,771
80,771,652,977
652,977,184,113
184,113,1000,522
1000,522,12,394
12,394,988,613
988,613,519,1000
519,1000,3,551
3,551,963,690
963,690,730,56
730,56,817,888
817,888,262,940
262,940,988,613
988,613,1,519
1,519,472,1
472,1,1,501
1,501,856,149
856,149,850,858
850,858,819,115
819,115,40,305
40,305,976,346
976,346,1,504
1,504,937,257
937,257,36,316
36,316,924,235
924,235,705,957
705,957,77,766
77,766,937,744
937,744,172,878
172,878,55,274
55,274,199,899
199,899,997,444
997,444,36,685
36,685,314,37
314,37,705,957
705,957,149,856
149,856,755,931
755,931,978,352
978,352,9,594
9,594,880,175
880,175,115,182
115,182,840,134
840,134,2,466
2,466,998,554
998,554,13,613
13,613,990,401
990,401,52,279
52,279,918,225
918,225,861,847
861,847,268,943
268,943,15,379
15,379,982,367
982,367,11,603
11,603,352,23
352,23,94,792
94,792,646,979
646,979,956,293
956,293,163,132
163,132,909,212
909,212,111,187
111,187,894,192
894,192,856,852
856,852,117,822
117,822,771,921
771,921,104,804
104,804,909,789
909,789,7,582
7,582,950,719
950,719,58,733
58,733,1000,475
1000,475,404,991
404,991,719,51
719,51,625,985
625,985,560,4
560,4,607,989
607,989,945,271
945,271,1,526
1,526,532,1000
532,1000,985,625
985,625,16,625
16,625,905,794
905,794,319,967
319,967,80,230
80,230,143,850
143,850,713,953
713,953,776,83
776,83,730,945
730,945,73,760
73,760,829,878
829,878,784,89
784,89,919,774
919,774,863,156
863,156,96,207
96,207,899,199
899,199,557,997
557,997,591,9
591,9,2,466
2,466,469,1
469,1,4,441
4,441,971,670
