p1,p2,R,G,B
72,85,0,0,0
53,72,0,0,0
32,53,0,0,0
96,32,0,0,0
16,96,0,0,0
97,16,0,0,0
25,97,0,0,0
2,25,0,0,0
81,2,0,0,0
67,81,0,0,0
47,67,0,0,0
4,47,0,0,0
21,4,0,0,0
38,21,0,0,0
61,38,0,0,0
36,61,0,0,0
72,36,0,0,0
50,72,0,0,0
84,50,0,0,0
33,84,0,0,0
74,33,0,0,0
57,74,0,0,0
91,57,0,0,0
14,91,0,0,0
89,14,0,0,0
73,89,0,0,0
34,73,0,0,0
15,34,0,0,0
47,15,0,0,0
20,47,0,0,0
41,20,0,0,0
60,41,0,0,0
99,60,0,0,0
77,99,0,0,0
23,77,0,0,0
98,23,0,0,0
19,98,0,0,0
84,19,0,0,0
71,84,0,0,0
8,71,0,0,0
41,8,0,0,0
93,41,0,0,0
48,93,0,0,0
27,48,0,0,0
68,27,0,0,0
43,68,0,0,0
63,43,0,0,0
8,63,0,0,0
70,8,0,0,0
51,70,0,0,0
3,51,0,0,0
32,3,0,0,0
14,32,0,0,0
36,14,0,0,0
86,36,0,0,0
71,86,0,0,0
48,71,0,0,0
17,48,0,0,0
38,17,0,0,0
64,38,0,0,0
12,64,0,0,0
39,12,0,0,0
59,39,0,0,0
76,59,0,0,0
61,76,0,0,0
77,61,0,0,0
11,77,0,0,0
89,11,0,0,0
54,89,0,0,0
92,54,0,0,0
25,92,0,0,0
81,25,0,0,0
3,81,0,0,0
22,3,0,0,0
85,22,0,0,0
70,85,0,0,0
83,70,0,0,0
6,83,0,0,0
40,6,0,0,0
10,40,0,0,0
68,10,0,0,0
30,68,0,0,0
12,30,0,0,0
49,12,0,0,0
1,49,0,0,0
43,1,0,0,0
80,43,0,0,0
66,80,0,0,0
32,66,0,0,0
56,32,0,0,0
74,56,0,0,0
91,74,0,0,0
52,91,0,0,0
23,52,0,0,0
42,23,0,0,0
65,42,0,0,0
79,65,0,0,0
4,79,0,0,0
49,4,0,0,0
28,49,0,0,0
6,28,0,0,0
25,6,0,0,0
45,25,0,0,0
99,45,0,0,0
65,99,0,0,0
80,65,0,0,0
6,80,0,0,0
51,6,0,0,0
18,51,0,0,0
37,18,0,0,0
13,37,0,0,0
76,13,0,0,0
95,76,0,0,0
54,95,0,0,0
8,54,0,0,0
45,8,0,0,0
18,45,0,0,0
60,18,0,0,0
40,60,0,0,0
20,40,0,0,0
0,20,0,0,0
64,0,0,0,0
79,64,0,0,0
26,79,0,0,0
99,26,0,0,0
21,99,0,0,0
97,21,0,0,0
59,97,0,0,0
76,59,0,0,0
96,76,0,0,0
31,96,0,0,0
82,31,0,0,0
42,82,0,0,0
63,42,0,0,0
40,63,0,0,0
72,40,0,0,0
87,72,0,0,0
15,87,0,0,0
33,15,0,0,0
89,33,0,0,0
73,89,0,0,0
54,73,0,0,0
31,54,0,0,0
5,31,0,0,0
82,5,0,0,0
9,82,0,0,0
41,9,0,0,0
67,41,0,0,0
31,67,0,0,0
11,31,0,0,0
38,11,0,0,0
78,38,0,0,0
63,78,0,0,0
98,63,0,0,0
77,98,0,0,0
37,77,0,0,0
2,37,0,0,0
57,2,0,0,0
27,57,0,0,0
93,27,0,0,0
17,93,0,0,0
81,17,0,0,0
7,81,0,0,0
69,7,0,0,0
22,69,0,0,0
44,22,0,0,0
24,44,0,0,0
2,24,0,0,0
33,2,0,0,0
90,33,0,0,0
55,90,0,0,0
99,55,0,0,0
47,99,0,0,0
70,47,0,0,0
27,70,0,0,0
51,27,0,0,0
9,51,0,0,0
28,9,0,0,0
69,28,0,0,0
83,69,0,0,0
16,83,0,0,0
93,16,0,0,0
50,93,0,0,0
88,50,0,0,0
34,88,0,0,0
60,34,0,0,0
39,60,0,0,0
18,39,0,0,0
75,18,0,0,0
57,75,0,0,0
92,57,0,0,0
18,92,0,0,0
67,18,0,0,0
30,67,0,0,0
53,30,0,0,0
97,53,0,0,0
27,97,0,0,0
82,27,0,0,0
68,82,0,0,0
42,68,0,0,0
5,42,0,0,0
47,5,0,0,0
71,47,0,0,0
35,71,0,0,0
12,35,0,0,0
44,12,0,0,0
20,44,0,0,0
80,20,0,0,0
23,80,0,0,0
2,23,0,0,0
39,2,0,0,0
61,39,0,0,0
77,61,0,0,0
10,77,0,0,0
85,10,0,0,0
70,85,0,0,0
45,70,0,0,0
93,45,0,0,0
56,93,0,0,0
29,56,0,0,0
96,29,0,0,0
26,96,0,0,0
0,26,0,0,0
78,0,0,0,0
1,78,0,0,0
25,1,0,0,0
58,25,0,0,0
33,58,0,0,0
13,33,0,0,0
89,13,0,0,0
52,89,0,0,0
5,52,0,0,0
30,5,0,0,0
55,30,0,0,0
74,55,0,0,0
31,74,0,0,0
8,31,0,0,0
29,8,0,0,0
94,29,0,0,0
42,94,0,0,0
83,42,0,0,0
22,83,0,0,0
43,22,0,0,0
81,43,0,0,0
28,81,0,0,0
50,28,0,0,0
16,50,0,0,0
73,16,0,0,0
9,73,0,0,0
36,9,0,0,0
76,36,0,0,0
96,76,0,0,0
19,96,0,0,0
42,19,0,0,0
16,42,0,0,0
94,16,0,0,0
59,94,0,0,0
3,59,0,0,0
25,3,0,0,0
65,25,0,0,0
39,65,0,0,0
63,39,0,0,0
17,63,0,0,0
54,17,0,0,0
96,54,0,0,0
60,96,0,0,0
9,60,0,0,0
67,9,0,0,0
29,67,0,0,0
58,29,0,0,0
32,58,0,0,0
73,32,0,0,0
40,73,0,0,0
64,40,0,0,0
19,64,0,0,0
86,19,0,0,0
35,86,0,0,0
