p1,p2,R,G,B
139,137,0,0,0
137,140,0,0,0
140,98,0,0,0
98,16,0,0,0
16,5,0,0,0
5,13,0,0,0
13,77,0,0,0
77,94,0,0,0
94,91,0,0,0
91,95,0,0,0
95,92,0,0,0
92,96,0,0,0
96,0,0,0,0
0,61,0,0,0
61,136,0,0,0
136,103,0,0,0
103,128,0,0,0
128,122,0,0,0
122,129,0,0,0
129,125,0,0,0
125,140,0,0,0
140,145,0,0,0
145,141,0,0,0
141,146,0,0,0
146,139,0,0,0
139,145,0,0,0
145,141,0,0,0
141,147,0,0,0
147,140,0,0,0
140,81,0,0,0
81,38,0,0,0
38,27,0,0,0
27,89,0,0,0
89,45,0,0,0
45,29,0,0,0
29,8,0,0,0
8,14,0,0,0
14,7,0,0,0
7,49,0,0,0
49,67,0,0,0
67,57,0,0,0
57,108,0,0,0
108,112,0,0,0
112,107,0,0,0
107,111,0,0,0
111,99,0,0,0
99,57,0,0,0
57,67,0,0,0
67,50,0,0,0
50,122,0,0,0
122,129,0,0,0
129,126,0,0,0
126,133,0,0,0
133,8,0,0,0
8,20,0,0,0
20,34,0,0,0
34,115,0,0,0
115,91,0,0,0
91,96,0,0,0
96,92,0,0,0
92,73,0,0,0
73,127,0,0,0
127,22,0,0,0
22,8,0,0,0
8,28,0,0,0
28,61,0,0,0
61,85,0,0,0
85,116,0,0,0
116,37,0,0,0
37,10,0,0,0
10,71,0,0,0
71,43,0,0,0
43,32,0,0,0
32,86,0,0,0
86,106,0,0,0
106,111,0,0,0
111,107,0,0,0
107,85,0,0,0
85,118,0,0,0
118,79,0,0,0
79,142,0,0,0
142,1,0,0,0
1,64,0,0,0
64,38,0,0,0
38,124,0,0,0
124,100,0,0,0
100,121,0,0,0
121,108,0,0,0
108,21,0,0,0
21,37,0,0,0
37,133,0,0,0
133,10,0,0,0
10,87,0,0,0
87,95,0,0,0
95,76,0,0,0
76,134,0,0,0
134,125,0,0,0
125,140,0,0,0
140,147,0,0,0
147,141,0,0,0
141,35,0,0,0
35,63,0,0,0
63,94,0,0,0
94,39,0,0,0
39,143,0,0,0
143,137,0,0,0
137,24,0,0,0
24,119,0,0,0
119,88,0,0,0
88,21,0,0,0
21,69,0,0,0
69,104,0,0,0
104,5,0,0,0
5,13,0,0,0
13,123,0,0,0
123,129,0,0,0
129,122,0,0,0
122,99,0,0,0
99,134,0,0,0
134,125,0,0,0
125,144,0,0,0
144,72,0,0,0
72,34,0,0,0
34,127,0,0,0
127,38,0,0,0
38,11,0,0,0
11,52,0,0,0
52,81,0,0,0
81,130,0,0,0
130,6,0,0,0
6,26,0,0,0
26,109,0,0,0
109,93,0,0,0
93,75,0,0,0
75,54,0,0,0
54,79,0,0,0
79,51,0,0,0
51,125,0,0,0
125,16,0,0,0
16,116,0,0,0
116,88,0,0,0
88,28,0,0,0
28,8,0,0,0
8,25,0,0,0
25,7,0,0,0
7,32,0,0,0
32,43,0,0,0
43,89,0,0,0
89,146,0,0,0
146,139,0,0,0
139,147,0,0,0
147,101,0,0,0
101,15,0,0,0
15,61,0,0,0
61,114,0,0,0
2,21,255,255,255
21,111,255,255,255
111,3,255,255,255
3,136,255,255,255
136,38,255,255,255
38,55,255,255,255
55,147,255,255,255
147,29,255,255,255
29,94,255,255,255
94,124,255,255,255
124,115,255,255,255
115,135,255,255,255
135,149,255,255,255
149,99,255,255,255
99,84,255,255,255
84,121,255,255,255
121,52,255,255,255
52,24,255,255,255
24,70,255,255,255
70,80,255,255,255
80,68,255,255,255
68,43,255,255,255
43,61,255,255,255
61,81,255,255,255
81,59,255,255,255
59,10,255,255,255
10,54,255,255,255
54,19,255,255,255
19,86,255,255,255
86,99,255,255,255
99,66,255,255,255
66,96,255,255,255
96,127,255,255,255
127,13,255,255,255
13,61,255,255,255
61,32,255,255,255
32,1,255,255,255
1,109,255,255,255
109,16,255,255,255
16,130,255,255,255
130,21,255,255,255
21,62,255,255,255
62,25,255,255,255
25,47,255,255,255
47,138,255,255,255
138,11,255,255,255
11,139,255,255,255
139,118,255,255,255
118,149,255,255,255
149,90,255,255,255
90,127,255,255,255
127,86,255,255,255
86,134,255,255,255
134,33,255,255,255
33,70,255,255,255
70,80,255,255,255
80,66,255,255,255
66,104,255,255,255
104,65,255,255,255
65,48,255,255,255
48,100,255,255,255
100,53,255,255,255
53,23,255,255,255
23,111,255,255,255
111,5,255,255,255
5,42,255,255,255
42,77,255,255,255
77,108,255,255,255
108,11,255,255,255
11,137,255,255,255
137,2,255,255,255
2,45,255,255,255
45,82,255,255,255
82,60,255,255,255
60,38,255,255,255
38,0,255,255,255
0,110,255,255,255
110,20,255,255,255
20,148,255,255,255
148,119,255,255,255
119,50,255,255,255
50,28,255,255,255
28,1,255,255,255
1,115,255,255,255
115,142,255,255,255
142,17,255,255,255
17,51,255,255,255
51,96,255,255,255
96,39,255,255,255
39,118,255,255,255
118,36,255,255,255
36,69,255,255,255
69,46,255,255,255
46,76,255,255,255
76,98,255,255,255
98,74,255,255,255
74,7,255,255,255
7,37,255,255,255
37,66,255,255,255
66,80,255,255,255
80,67,255,255,255
67,103,255,255,255
103,71,255,255,255
71,97,255,255,255
97,125,255,255,255
125,92,255,255,255
92,123,255,255,255
123,90,255,255,255
90,136,255,255,255
136,8,255,255,255
8,117,255,255,255
117,44,255,255,255
44,19,255,255,255
19,118,255,255,255
118,149,255,255,255
149,30,255,255,255
30,131,255,255,255
131,75,255,255,255
75,99,255,255,255
99,79,255,255,255
79,45,255,255,255
45,15,255,255,255
15,120,255,255,255
120,55,255,255,255
55,30,255,255,255
30,145,255,255,255
145,49,255,255,255
49,4,255,255,255
4,135,255,255,255
135,6,255,255,255
6,36,255,255,255
36,95,255,255,255
95,31,255,255,255
31,3,255,255,255
3,136,255,255,255
136,36,255,255,255
36,60,255,255,255
60,82,255,255,255
82,64,255,255,255
64,80,255,255,255
80,44,255,255,255
44,19,255,255,255
19,116,255,255,255
116,22,255,255,255
22,144,255,255,255
144,102,255,255,255
102,68,255,255,255
68,104,255,255,255
104,65,255,255,255
65,88,255,255,255
88,127,255,255,255
127,15,255,255,255
15,48,255,255,255
48,70,255,255,255
70,101,255,255,255
101,53,255,255,255
53,141,255,255,255
141,117,255,255,255
117,143,255,255,255
143,28,255,255,255
28,57,255,255,255
57,3,255,255,255
3,110,255,255,255
110,19,255,255,255
19,122,255,255,255
122,39,255,255,255
39,6,255,255,255
6,137,255,255,255
137,35,255,255,255
35,143,255,255,255
143,91,255,255,255
91,6,255,255,255
6,121,255,255,255
121,83,255,255,255
83,123,255,255,255
123,90,255,255,255
90,141,255,255,255
141,98,255,255,255
98,70,255,255,255
70,48,255,255,255
48,18,255,255,255
18,140,255,255,255
140,52,255,255,255
52,119,255,255,255
119,18,255,255,255
18,63,255,255,255
63,82,255,255,255
82,46,255,255,255
46,69,255,255,255
69,34,255,255,255
34,114,255,255,255
114,36,255,255,255
36,73,255,255,255
73,120,255,255,255
120,25,255,255,255
25,68,255,255,255
68,43,255,255,255
43,76,255,255,255
76,39,255,255,255
39,96,255,255,255
96,52,255,255,255
52,24,255,255,255
24,51,255,255,255
51,0,255,255,255
0,30,255,255,255
30,4,255,255,255
4,120,255,255,255
120,13,255,255,255
13,55,255,255,255
55,8,255,255,255
8,136,255,255,255
136,3,255,255,255
3,121,255,255,255
121,22,255,255,255
22,54,255,255,255
54,140,255,255,255
140,16,255,255,255
16,119,255,255,255
119,7,255,255,255
7,137,255,255,255
137,92,255,255,255
92,125,255,255,255
125,74,255,255,255
74,98,255,255,255
98,72,255,255,255
72,105,255,255,255
105,67,255,255,255
67,101,255,255,255
101,53,255,255,255
53,28,255,255,255
28,148,255,255,255
148,33,255,255,255
33,70,255,255,255
70,98,255,255,255
98,141,255,255,255
27,116,255,130,0
116,70,255,130,0
70,132,255,130,0
132,35,255,130,0
35,75,255,130,0
75,9,255,130,0
9,65,255,130,0
65,109,255,130,0
109,21,255,130,0
21,101,255,130,0
101,7,255,130,0
7,124,255,130,0
124,32,255,130,0
32,75,255,130,0
75,125,255,130,0
125,60,255,130,0
60,140,255,130,0
140,91,255,130,0
91,42,255,130,0
42,99,255,130,0
99,62,255,130,0
62,10,255,130,0
10,81,255,130,0
81,28,255,130,0
28,115,255,130,0
