p1,p2,R,G,B
91,63,0,166,86
4,91,0,166,86
229,4,0,166,86
74,229,0,166,86
44,74,0,166,86
170,44,0,166,86
147,170,0,166,86
201,147,0,166,86
226,201,0,166,86
12,226,0,166,86
45,12,0,166,86
25,45,0,166,86
215,25,0,166,86
119,215,0,166,86
137,119,0,166,86
109,137,0,166,86
219,109,0,166,86
43,219,0,166,86
66,43,0,166,86
103,66,0,166,86
118,103,0,166,86
138,118,0,166,86
189,138,0,166,86
241,189,0,166,86
177,241,0,166,86
140,177,0,166,86
169,140,0,166,86
114,169,0,166,86
217,114,0,166,86
189,217,0,166,86
162,189,0,166,86
14,162,0,166,86
239,14,0,166,86
92,239,0,166,86
150,92,0,166,86
168,150,0,166,86
210,168,0,166,86
87,210,0,166,86
69,87,0,166,86
81,69,0,166,86
48,81,0,166,86
129,48,0,166,86
58,129,0,166,86
5,58,0,166,86
237,5,0,166,86
24,237,0,166,86
1,24,0,166,86
229,1,0,166,86
248,229,0,166,86
84,248,0,166,86
65,84,0,166,86
200,65,0,166,86
186,200,0,166,86
213,186,0,166,86
128,213,0,166,86
115,128,0,166,86
131,115,0,166,86
156,131,0,166,86
222,156,0,166,86
35,222,0,166,86
92,35,0,166,86
143,92,0,166,86
55,143,0,166,86
28,55,0,166,86
206,28,0,166,86
193,206,0,166,86
175,193,0,166,86
153,175,0,166,86
108,153,0,166,86
122,108,0,166,86
100,122,0,166,86
75,100,0,166,86
58,75,0,166,86
24,58,0,166,86
220,24,0,166,86
18,220,0,166,86
233,18,0,166,86
89,233,0,166,86
30,89,0,166,86
223,30,0,166,86
16,223,0,166,86
243,16,0,166,86
14,243,0,166,86
43,14,0,166,86
79,43,0,166,86
50,79,0,166,86
169,50,0,166,86
208,169,0,166,86
193,208,0,166,86
100,193,0,166,86
17,100,0,166,86
128,17,0,166,86
97,128,0,166,86
144,97,0,166,86
165,144,0,166,86
183,165,0,166,86
133,183,0,166,86
216,133,0,166,86
112,216,0,166,86
126,112,0,166,86
62,126,0,166,86
108,62,0,166,86
222,108,0,166,86
247,222,0,166,86
230,247,0,166,86
206,230,0,166,86
176,206,0,166,86
146,176,0,166,86
106,146,0,166,86
122,106,0,166,86
215,122,0,166,86
190,215,0,166,86
159,190,0,166,86
224,159,0,166,86
8,224,0,166,86
241,8,0,166,86
84,241,0,166,86
28,84,0,166,86
96,28,0,166,86
173,96,0,166,86
41,173,0,166,86
17,41,0,166,86
39,17,0,166,86
88,39,0,166,86
67,88,0,166,86
38,67,0,166,86
217,38,0,166,86
181,217,0,166,86
139,181,0,166,86
164,139,0,166,86
184,164,0,166,86
131,184,0,166,86
96,131,0,166,86
64,96,0,166,86
209,64,0,166,86
192,209,0,166,86
213,192,0,166,86
164,213,0,166,86
200,164,0,166,86
234,200,0,166,86
43,234,0,166,86
64,43,0,166,86
90,64,0,166,86
59,90,0,166,86
137,59,0,166,86
1,137,0,166,86
238,1,0,166,86
31,238,0,166,86
56,31,0,166,86
140,56,0,166,86
178,140,0,166,86
201,178,0,166,86
89,201,0,166,86
65,89,0,166,86
82,65,0,166,86
66,82,0,166,86
