p1,p2,R,G,B
129,63,253,253,253
63,6,253,253,253
6,147,253,253,253
147,109,253,253,253
109,99,253,253,253
99,120,253,253,253
120,82,253,253,253
82,2,253,253,253
2,41,253,253,253
41,69,253,253,253
69,19,253,253,253
19,30,253,253,253
30,40,253,253,253
40,88,253,253,253
88,64,253,253,253
64,56,253,253,253
56,47,253,253,253
47,128,253,253,253
128,138,253,253,253
138,12,253,253,253
12,108,253,253,253
108,100,253,253,253
100,95,253,253,253
95,102,253,253,253
102,21,253,253,253
21,8,253,253,253
8,141,253,253,253
141,93,253,253,253
93,106,253,253,253
106,118,253,253,253
118,127,253,253,253
127,139,253,253,253
139,122,253,253,253
122,55,253,253,253
55,65,253,253,253
65,84,253,253,253
84,45,253,253,253
45,53,253,253,253
53,17,253,253,253
17,32,253,253,253
32,22,253,253,253
22,7,253,253,253
7,125,253,253,253
125,114,253,253,253
114,39,253,253,253
39,72,253,253,253
72,119,253,253,253
119,146,253,253,253
146,7,253,253,253
7,81,253,253,253
81,68,253,253,253
68,53,253,253,253
53,11,253,253,253
11,41,253,253,253
41,52,253,253,253
52,109,253,253,253
109,93,253,253,253
93,76,253,253,253
76,113,253,253,253
113,140,253,253,253
140,121,253,253,253
121,86,253,253,253
86,94,253,253,253
94,105,253,253,253
105,113,253,253,253
113,14,253,253,253
14,36,253,253,253
36,16,253,253,253
16,3,253,253,253
3,117,253,253,253
117,109,253,253,253
109,91,253,253,253
91,80,253,253,253
80,53,253,253,253
53,71,253,253,253
71,85,253,253,253
85,1,253,253,253
1,19,253,253,253
19,48,253,253,253
48,124,253,253,253
124,134,253,253,253
134,147,253,253,253
147,29,253,253,253
29,41,253,253,253
41,74,253,253,253
74,61,253,253,253
61,34,253,253,253
34,49,253,253,253
49,10,253,253,253
10,138,253,253,253
138,2,253,253,253
2,131,253,253,253
131,116,253,253,253
116,70,253,253,253
70,122,253,253,253
122,62,253,253,253
62,73,253,253,253
73,23,253,253,253
23,35,253,253,253
35,139,253,253,253
139,9,253,253,253
9,108,253,253,253
108,118,253,253,253
118,100,253,253,253
100,135,253,253,253
135,65,253,253,253
65,54,253,253,253
54,76,253,253,253
76,127,253,253,253
127,89,253,253,253
89,15,253,253,253
15,40,253,253,253
40,50,253,253,253
50,123,253,253,253
123,136,253,253,253
136,120,253,253,253
120,97,253,253,253
97,88,253,253,253
88,99,253,253,253
99,84,253,253,253
84,5,253,253,253
5,24,253,253,253
24,128,253,253,253
128,117,253,253,253
117,102,253,253,253
102,18,253,253,253
18,28,253,253,253
28,44,253,253,253
44,58,253,253,253
58,8,253,253,253
8,65,253,253,253
65,33,253,253,253
33,16,253,253,253
16,148,253,253,253
148,51,253,253,253
51,2,253,253,253
