p1,p2,R,G,B
136,123,49,24,15
123,12,49,24,15
12,8,49,24,15
8,25,49,24,15
25,7,49,24,15
7,12,49,24,15
12,8,49,24,15
8,15,49,24,15
15,64,49,24,15
64,38,49,24,15
38,118,49,24,15
118,68,49,24,15
68,86,49,24,15
86,1,49,24,15
1,113,49,24,15
113,144,49,24,15
144,56,49,24,15
56,63,49,24,15
63,59,49,24,15
59,64,49,24,15
64,56,49,24,15
56,63,49,24,15
63,35,49,24,15
35,141,49,24,15
141,138,49,24,15
138,140,49,24,15
140,139,49,24,15
139,141,49,24,15
141,138,49,24,15
138,140,49,24,15
140,0,49,24,15
0,80,49,24,15
80,105,49,24,15
105,79,49,24,15
79,119,49,24,15
119,99,49,24,15
99,121,49,24,15
121,132,49,24,15
132,134,49,24,15
134,40,49,24,15
40,94,49,24,15
94,91,49,24,15
91,95,49,24,15
95,93,49,24,15
93,42,49,24,15
42,128,49,24,15
128,126,49,24,15
126,129,49,24,15
129,125,49,24,15
125,128,49,24,15
128,126,49,24,15
126,129,49,24,15
129,127,49,24,15
127,21,49,24,15
21,76,49,24,15
76,142,49,24,15
142,146,49,24,15
146,143,49,24,15
143,139,49,24,15
139,144,49,24,15
144,140,49,24,15
140,138,49,24,15
138,141,49,24,15
141,146,49,24,15
146,142,49,24,15
142,1,49,24,15
1,64,49,24,15
64,61,49,24,15
61,131,49,24,15
131,88,49,24,15
88,93,49,24,15
93,91,49,24,15
91,95,49,24,15
95,90,49,24,15
90,48,49,24,15
48,74,49,24,15
74,52,49,24,15
52,79,49,24,15
79,56,49,24,15
56,63,49,24,15
63,53,49,24,15
53,12,49,24,15
12,7,49,24,15
7,14,49,24,15
14,133,49,24,15
133,19,49,24,15
19,107,49,24,15
107,111,49,24,15
111,108,49,24,15
108,110,49,24,15
110,107,49,24,15
107,111,49,24,15
111,109,49,24,15
109,27,49,24,15
27,89,49,24,15
89,85,49,24,15
85,61,49,24,15
61,91,49,24,15
91,95,49,24,15
95,92,49,24,15
92,97,49,24,15
97,121,49,24,15
121,87,49,24,15
87,107,49,24,15
107,111,49,24,15
111,106,49,24,15
106,16,49,24,15
16,125,49,24,15
125,129,49,24,15
129,126,49,24,15
126,128,49,24,15
128,125,49,24,15
125,129,49,24,15
129,124,49,24,15
124,136,49,24,15
136,123,49,24,15
123,101,49,24,15
101,6,49,24,15
6,20,49,24,15
20,70,49,24,15
70,41,49,24,15
41,120,49,24,15
120,44,49,24,15
44,72,49,24,15
72,141,49,24,15
141,138,49,24,15
138,140,49,24,15
140,144,49,24,15
144,139,49,24,15
139,149,49,24,15
149,47,49,24,15
47,130,49,24,15
130,125,49,24,15
125,129,49,24,15
129,126,49,24,15
126,134,49,24,15
134,13,49,24,15
13,7,49,24,15
7,20,49,24,15
20,6,49,24,15
6,16,49,24,15
16,85,49,24,15
85,107,49,24,15
107,111,49,24,15
111,108,49,24,15
