x1,y1,x2,y2
61,88,2,274
2,274,500,236
500,236,466,378
466,378,495,197
495,197,317,10
317,10,201,6
201,6,46,106
46,106,127,468
127,468,14,331
14,331,188,8
188,8,191,493
191,493,64,84
64,84,481,154
481,154,297,496
297,496,431,424
431,424,243,500
243,500,95,446
95,446,163,16
163,16,394,46
394,46,134,29
134,29,3,288
3,288,500,246
500,246,390,458
390,458,498,213
498,213,260,1
260,1,334,486
334,486,166,486
166,486,28,364
28,364,119,463
119,463,460,387
460,387,357,477
357,477,460,114
460,114,300,6
300,6,211,4
211,4,276,499
276,499,1,246
1,246,59,90
59,90,489,176
489,176,407,56
407,56,102,49
102,49,8,191
8,191,92,57
92,57,13,173
13,173,20,347
20,347,474,363
474,363,357,477
357,477,235,500
235,500,1,251
1,251,35,376
35,376,445,94
445,94,78,69
78,69,424,70
424,70,437,417
437,417,498,288
498,288,415,439
415,439,500,263
500,263,391,44
391,44,196,7
196,7,358,25
358,25,114,41
114,41,274,2
274,2,201,6
201,6,276,2
276,2,351,22
351,22,462,117
462,117,24,144
24,144,73,426
73,426,169,487
169,487,14,331
14,331,59,411
59,411,4,207
4,207,466,125
466,125,383,462
383,462,156,482
156,482,37,380
37,380,308,494
308,494,442,411
442,411,488,329
488,329,477,145
477,145,4,290
4,290,194,494
194,494,474,138
474,138,418,65
418,65,500,243
500,243,486,335
486,335,2,282
2,282,56,407
56,407,22,351
22,351,6,300
6,300,18,158
18,158,82,66
82,66,199,6
199,6,110,44
110,44,402,52
402,52,497,207
497,207,1,229
1,229,310,8
310,8,147,23
147,23,296,5
296,5,227,2
227,2,274,2
274,2,208,497
208,497,450,401
450,401,185,492
185,492,53,97
53,97,9,187
9,187,2,274
2,274,2,227
2,227,499,224
499,224,411,442
411,442,319,491
319,491,494,196
494,196,370,470
370,470,241,500
241,500,147,478
147,478,94,445
94,445,37,121
37,121,391,44
391,44,300,6
300,6,351,22
351,22,131,31
131,31,191,8
191,8,125,35
125,35,134,472
134,472,90,442
90,442,51,401
51,401,91,443
91,443,441,412
441,412,399,452
399,452,500,268
500,268,7,308
7,308,35,376
35,376,56,407
56,407,39,383
39,383,20,154
20,154,64,84
64,84,454,105
454,105,420,67
420,67,314,492
314,492,265,500
265,500,229,500
229,500,117,462
117,462,81,434
81,434,29,134
29,134,456,109
456,109,492,185
492,185,4,208
4,208,117,39
117,39,117,39
