p1,p2,R,G,B
118,81,255,130,0
81,104,255,130,0
104,125,255,130,0
125,12,255,130,0
12,64,255,130,0
64,141,255,130,0
141,91,255,130,0
91,52,255,130,0
52,111,255,130,0
111,45,255,130,0
45,131,255,130,0
131,105,255,130,0
105,1,255,130,0
1,61,255,130,0
61,97,255,130,0
97,32,255,130,0
32,75,255,130,0
75,124,255,130,0
124,0,255,130,0
0,78,255,130,0
78,20,255,130,0
20,123,255,130,0
123,5,255,130,0
5,100,255,130,0
100,108,255,130,0
108,41,255,130,0
41,135,255,130,0
135,101,255,130,0
101,48,255,130,0
48,86,255,130,0
86,19,255,130,0
19,68,255,130,0
68,136,255,130,0
136,101,255,130,0
101,21,255,130,0
21,69,255,130,0
69,8,255,130,0
8,110,255,130,0
110,40,255,130,0
40,114,255,130,0
114,60,255,130,0
60,94,255,130,0
94,17,255,130,0
17,70,255,130,0
70,25,255,130,0
25,111,255,130,0
111,69,255,130,0
69,22,255,130,0
22,129,255,130,0
129,18,255,130,0
18,123,255,130,0
123,148,255,130,0
148,121,255,130,0
121,137,255,130,0
137,55,255,130,0
55,85,255,130,0
85,40,255,130,0
40,112,255,130,0
112,35,255,130,0
35,76,255,130,0
76,30,255,130,0
30,120,255,130,0
120,144,255,130,0
144,55,255,130,0
55,95,255,130,0
95,62,255,130,0
62,131,255,130,0
131,100,255,130,0
100,45,255,130,0
45,109,255,130,0
109,22,255,130,0
22,83,255,130,0
83,125,255,130,0
125,24,255,130,0
24,99,255,130,0
99,63,255,130,0
63,143,255,130,0
143,88,255,130,0
88,53,255,130,0
53,84,255,130,0
84,131,255,130,0
131,26,255,130,0
26,94,255,130,0
94,142,255,130,0
142,51,255,130,0
51,85,255,130,0
85,53,255,130,0
53,146,255,130,0
146,52,255,130,0
52,103,255,130,0
103,145,255,130,0
145,97,255,130,0
97,131,255,130,0
131,34,255,130,0
34,112,255,130,0
112,73,255,130,0
73,116,255,130,0
116,29,255,130,0
29,118,255,130,0
118,80,255,130,0
80,9,255,130,0
9,128,255,130,0
128,7,255,130,0
6,6,220,0,0
6,68,220,0,0
68,147,220,0,0
147,74,220,0,0
74,112,220,0,0
112,110,220,0,0
110,114,220,0,0
114,62,220,0,0
62,121,220,0,0
121,56,220,0,0
56,95,220,0,0
95,53,220,0,0
53,104,220,0,0
104,106,220,0,0
106,103,220,0,0
103,114,220,0,0
114,110,220,0,0
110,47,220,0,0
47,129,220,0,0
129,71,220,0,0
71,134,220,0,0
134,52,220,0,0
52,140,220,0,0
140,89,220,0,0
89,39,220,0,0
39,82,220,0,0
82,23,220,0,0
23,98,220,0,0
98,59,220,0,0
59,135,220,0,0
135,54,220,0,0
54,115,220,0,0
115,60,220,0,0
60,124,220,0,0
124,73,220,0,0
73,5,220,0,0
5,91,220,0,0
91,50,220,0,0
50,131,220,0,0
131,78,220,0,0
78,138,220,0,0
138,87,220,0,0
87,10,220,0,0
10,72,220,0,0
72,119,220,0,0
119,67,220,0,0
67,2,220,0,0
2,63,220,0,0
63,124,220,0,0
124,68,220,0,0
68,141,220,0,0
141,77,220,0,0
77,19,220,0,0
19,104,220,0,0
104,32,220,0,0
32,111,220,0,0
111,71,220,0,0
71,1,220,0,0
1,92,220,0,0
92,49,220,0,0
49,133,220,0,0
133,55,220,0,0
55,110,220,0,0
110,42,220,0,0
42,129,220,0,0
129,41,220,0,0
41,84,220,0,0
84,20,220,0,0
20,98,220,0,0
98,16,220,0,0
16,74,220,0,0
74,4,220,0,0
4,70,220,0,0
70,144,220,0,0
144,58,220,0,0
58,120,220,0,0
120,65,220,0,0
65,111,220,0,0
111,40,220,0,0
40,86,220,0,0
86,27,220,0,0
27,85,220,0,0
85,7,220,0,0
7,69,220,0,0
69,142,220,0,0
142,66,220,0,0
66,126,220,0,0
126,43,220,0,0
43,108,220,0,0
108,33,220,0,0
33,99,220,0,0
99,22,220,0,0
15,15,0,0,0
15,57,0,0,0
57,59,0,0,0
59,58,0,0,0
58,60,0,0,0
60,57,0,0,0
57,59,0,0,0
59,61,0,0,0
61,63,0,0,0
63,62,0,0,0
62,59,0,0,0
59,55,0,0,0
55,53,0,0,0
53,56,0,0,0
56,64,0,0,0
64,146,0,0,0
146,144,0,0,0
144,141,0,0,0
141,145,0,0,0
145,142,0,0,0
142,138,0,0,0
138,0,0,0,0
0,139,0,0,0
139,111,0,0,0
111,109,0,0,0
109,107,0,0,0
107,110,0,0,0
110,108,0,0,0
108,111,0,0,0
111,109,0,0,0
109,41,0,0,0
41,34,0,0,0
34,8,0,0,0
8,10,0,0,0
10,7,0,0,0
7,11,0,0,0
11,26,0,0,0
26,22,0,0,0
22,139,0,0,0
139,148,0,0,0
148,51,0,0,0
51,52,0,0,0
52,99,0,0,0
99,117,0,0,0
117,106,0,0,0
106,111,0,0,0
111,108,0,0,0
108,113,0,0,0
113,5,0,0,0
5,20,0,0,0
20,126,0,0,0
126,129,0,0,0
129,125,0,0,0
125,128,0,0,0
128,71,0,0,0
71,23,0,0,0
23,138,0,0,0
138,142,0,0,0
142,145,0,0,0
145,141,0,0,0
141,149,0,0,0
149,47,0,0,0
47,89,0,0,0
89,88,0,0,0
88,114,0,0,0
114,71,0,0,0
71,94,0,0,0
94,90,0,0,0
90,85,0,0,0
85,89,0,0,0
89,56,0,0,0
56,61,0,0,0
61,63,0,0,0
63,49,0,0,0
49,125,0,0,0
125,129,0,0,0
129,126,0,0,0
126,130,0,0,0
130,9,0,0,0
9,13,0,0,0
13,4,0,0,0
4,101,0,0,0
101,123,0,0,0
123,133,0,0,0
133,95,0,0,0
95,91,0,0,0
91,94,0,0,0
94,66,0,0,0
66,44,0,0,0
44,26,0,0,0
26,103,0,0,0
103,36,0,0,0
36,21,0,0,0
21,7,0,0,0
7,10,0,0,0
10,32,0,0,0
32,46,0,0,0
46,74,0,0,0
74,59,0,0,0
59,62,0,0,0
62,79,0,0,0
79,124,0,0,0
124,129,0,0,0
129,125,0,0,0
125,16,0,0,0
16,116,0,0,0
116,63,0,0,0
63,34,0,0,0
34,43,0,0,0
43,28,0,0,0
28,41,0,0,0
41,95,0,0,0
95,91,0,0,0
91,94,0,0,0
94,147,0,0,0
147,138,0,0,0
138,143,0,0,0
143,76,0,0,0
76,56,0,0,0
56,64,0,0,0
64,53,0,0,0
53,87,0,0,0
87,7,0,0,0
7,12,0,0,0
12,122,0,0,0
122,32,0,0,0
32,10,0,0,0
10,27,0,0,0
27,38,0,0,0
38,119,0,0,0
119,79,0,0,0
79,55,0,0,0
55,98,0,0,0
98,53,0,0,0
53,12,0,0,0
12,6,0,0,0
6,88,0,0,0
88,107,0,0,0
107,110,0,0,0
110,108,0,0,0
108,111,0,0,0
111,61,0,0,0
61,95,0,0,0
95,92,0,0,0
92,76,0,0,0
76,112,0,0,0
112,106,0,0,0
106,111,0,0,0
111,97,0,0,0
97,92,0,0,0
92,74,0,0,0
74,127,0,0,0
127,35,0,0,0
35,7,0,0,0
7,130,0,0,0
130,125,0,0,0
125,129,0,0,0
129,123,0,0,0
123,137,0,0,0
137,25,0,0,0
25,78,0,0,0
78,37,0,0,0
37,30,0,0,0
30,7,0,0,0
7,16,0,0,0
16,98,0,0,0
98,139,0,0,0
139,73,0,0,0
73,52,0,0,0
52,62,0,0,0
62,51,0,0,0
51,99,0,0,0
99,123,0,0,0
123,133,0,0,0
133,14,0,0,0
14,4,0,0,0
4,47,0,0,0
47,147,0,0,0
147,138,0,0,0
138,143,0,0,0
143,81,0,0,0
81,110,0,0,0
110,91,0,0,0
91,96,0,0,0
96,121,0,0,0
121,45,0,0,0
45,93,0,0,0
93,73,0,0,0
73,49,0,0,0
49,63,0,0,0
63,132,0,0,0
132,37,0,0,0
37,64,0,0,0
64,56,0,0,0
56,133,0,0,0
133,123,0,0,0
123,137,0,0,0
137,66,0,0,0
66,46,0,0,0
46,31,0,0,0
31,43,0,0,0
43,129,0,0,0
129,125,0,0,0
125,131,0,0,0
131,6,0,0,0
6,13,0,0,0
13,4,0,0,0
4,107,0,0,0
107,72,0,0,0
72,92,0,0,0
92,97,0,0,0
97,120,0,0,0
120,88,0,0,0
88,126,0,0,0
126,108,0,0,0
108,92,0,0,0
92,67,0,0,0
67,9,0,0,0
9,113,0,0,0
113,65,0,0,0
65,41,0,0,0
41,29,0,0,0
29,8,0,0,0
8,23,0,0,0
23,117,0,0,0
117,91,0,0,0
91,111,0,0,0
111,145,0,0,0
145,140,0,0,0
140,146,0,0,0
146,76,0,0,0
76,95,0,0,0
95,80,0,0,0
80,0,0,0,0
0,62,0,0,0
62,139,0,0,0
139,148,0,0,0
148,140,0,0,0
140,33,0,0,0
33,9,0,0,0
9,23,0,0,0
23,112,0,0,0
112,142,0,0,0
142,36,0,0,0
36,8,0,0,0
8,25,0,0,0
25,6,0,0,0
6,49,0,0,0
49,73,0,0,0
73,15,0,0,0
15,132,0,0,0
132,8,0,0,0
8,86,0,0,0
86,62,0,0,0
62,109,0,0,0
109,128,0,0,0
128,50,0,0,0
50,124,0,0,0
124,129,0,0,0
129,125,0,0,0
125,135,0,0,0
135,45,0,0,0
45,143,0,0,0
143,55,0,0,0
55,90,0,0,0
90,62,0,0,0
62,100,0,0,0
100,135,0,0,0
135,105,0,0,0
105,84,0,0,0
84,20,0,0,0
20,113,0,0,0
